Approved_Symbol,Date_Name_Changed,Previous_Symbol,Synonyms,Linked_Genes
ZNF343,,,MGC10715,MGC10715
MGC10715,,,ZNF343,ZNF343
CADPS2,6/20/16,,CAPS2,CAPS2
CAPS2,6/20/16,,CADPS2,CADPS2
LINC00515,11/20/11,C21orf71,PRED21,C21orf71|PRED21
PRED21,11/20/11,C21orf71,LINC00515,C21orf71|LINC00515
CCR1,3/20/16,SCYAR1|CMKBR1,CKR-1|MIP1aR|CD191,SCYAR1|CMKBR1|CKR-1|MIP1aR|CD191
CKR-1,3/20/16,SCYAR1|CMKBR1,CCR1|MIP1aR|CD191,SCYAR1|CMKBR1|CCR1|MIP1aR|CD191
MIP1aR,3/20/16,SCYAR1|CMKBR1,CCR1|CKR-1|CD191,SCYAR1|CMKBR1|CCR1|CKR-1|CD191
CD191,3/20/16,SCYAR1|CMKBR1,CCR1|CKR-1|MIP1aR,SCYAR1|CMKBR1|CCR1|CKR-1|MIP1aR
N6AMT1,12/20/06,C21orf127|HEMK2,PRED28|N6AMT|MTQ2,C21orf127|HEMK2|PRED28|N6AMT|MTQ2
PRED28,12/20/06,C21orf127|HEMK2,N6AMT1|N6AMT|MTQ2,C21orf127|HEMK2|N6AMT1|N6AMT|MTQ2
N6AMT,12/20/06,C21orf127|HEMK2,N6AMT1|PRED28|MTQ2,C21orf127|HEMK2|N6AMT1|PRED28|MTQ2
MTQ2,12/20/06,C21orf127|HEMK2,N6AMT1|PRED28|N6AMT,C21orf127|HEMK2|N6AMT1|PRED28|N6AMT
ABCC13,1/20/16,,PRED6|C21orf73|ABCC13P,PRED6|C21orf73|ABCC13P
PRED6,1/20/16,,ABCC13|C21orf73|ABCC13P,ABCC13|C21orf73|ABCC13P
C21orf73,1/20/16,,ABCC13|PRED6|ABCC13P,ABCC13|PRED6|ABCC13P
ABCC13P,1/20/16,,ABCC13|PRED6|C21orf73,ABCC13|PRED6|C21orf73
LINC00308,8/20/11,C21orf74|NCRNA00308,PRED16,C21orf74|NCRNA00308|PRED16
PRED16,8/20/11,C21orf74|NCRNA00308,LINC00308,C21orf74|NCRNA00308|LINC00308
BACE2-IT1,2/20/15,C21orf75|NCRNA00228,PRED43,C21orf75|NCRNA00228|PRED43
PRED43,2/20/15,C21orf75|NCRNA00228,BACE2-IT1,C21orf75|NCRNA00228|BACE2-IT1
C21orf72~,,,,
FGD3,8/20/04,,FLJ00004|ZFYVE5,FLJ00004|ZFYVE5
FLJ00004,8/20/04,,FGD3|ZFYVE5,FGD3|ZFYVE5
ZFYVE5,8/20/04,,FGD3|FLJ00004,FGD3|FLJ00004
IL33,11/20/06,C9orf26,DVS27|DKFZp586H0523|NF-HEV|IL1F11,C9orf26|DVS27|DKFZp586H0523|NF-HEV|IL1F11
DVS27,11/20/06,C9orf26,IL33|DKFZp586H0523|NF-HEV|IL1F11,C9orf26|IL33|DKFZp586H0523|NF-HEV|IL1F11
DKFZp586H0523,11/20/06,C9orf26,IL33|DVS27|NF-HEV|IL1F11,C9orf26|IL33|DVS27|NF-HEV|IL1F11
NF-HEV,11/20/06,C9orf26,IL33|DVS27|DKFZp586H0523|IL1F11,C9orf26|IL33|DVS27|DKFZp586H0523|IL1F11
IL1F11,11/20/06,C9orf26,IL33|DVS27|DKFZp586H0523|NF-HEV,C9orf26|IL33|DVS27|DKFZp586H0523|NF-HEV
AQP10,,,,
CCR2,3/20/16,CMKBR2,CC-CKR-2|CKR2|MCP-1-R|CD192|FLJ78302,CMKBR2|CC-CKR-2|CKR2|MCP-1-R|CD192|FLJ78302
CC-CKR-2,3/20/16,CMKBR2,CCR2|CKR2|MCP-1-R|CD192|FLJ78302,CMKBR2|CCR2|CKR2|MCP-1-R|CD192|FLJ78302
CKR2,3/20/16,CMKBR2,CCR2|CC-CKR-2|MCP-1-R|CD192|FLJ78302,CMKBR2|CCR2|CC-CKR-2|MCP-1-R|CD192|FLJ78302
MCP-1-R,3/20/16,CMKBR2,CCR2|CC-CKR-2|CKR2|CD192|FLJ78302,CMKBR2|CCR2|CC-CKR-2|CKR2|CD192|FLJ78302
CD192,3/20/16,CMKBR2,CCR2|CC-CKR-2|CKR2|MCP-1-R|FLJ78302,CMKBR2|CCR2|CC-CKR-2|CKR2|MCP-1-R|FLJ78302
FLJ78302,3/20/16,CMKBR2,CCR2|CC-CKR-2|CKR2|MCP-1-R|CD192,CMKBR2|CCR2|CC-CKR-2|CKR2|MCP-1-R|CD192
RNF31,,,ZIBRA|FLJ10111|FLJ23501|HOIP|Paul,ZIBRA|FLJ10111|FLJ23501|HOIP|Paul
ZIBRA,,,RNF31|FLJ10111|FLJ23501|HOIP|Paul,RNF31|FLJ10111|FLJ23501|HOIP|Paul
FLJ10111,,,RNF31|ZIBRA|FLJ23501|HOIP|Paul,RNF31|ZIBRA|FLJ23501|HOIP|Paul
FLJ23501,,,RNF31|ZIBRA|FLJ10111|HOIP|Paul,RNF31|ZIBRA|FLJ10111|HOIP|Paul
HOIP,,,RNF31|ZIBRA|FLJ10111|FLJ23501|Paul,RNF31|ZIBRA|FLJ10111|FLJ23501|Paul
Paul,,,RNF31|ZIBRA|FLJ10111|FLJ23501|HOIP,RNF31|ZIBRA|FLJ10111|FLJ23501|HOIP
PDB3~,,,,
PDB4,,,,
BIVM,,,FLJ20159,FLJ20159
FLJ20159,,,BIVM,BIVM
STRC,,DFNB16,,DFNB16
ORMDL1,6/20/14,,,
ORMDL2,6/20/14,,HSPC160|adoplin-2|MST095|MSTP095,HSPC160|adoplin-2|MST095|MSTP095
HSPC160,6/20/14,,ORMDL2|adoplin-2|MST095|MSTP095,ORMDL2|adoplin-2|MST095|MSTP095
adoplin-2,6/20/14,,ORMDL2|HSPC160|MST095|MSTP095,ORMDL2|HSPC160|MST095|MSTP095
MST095,6/20/14,,ORMDL2|HSPC160|adoplin-2|MSTP095,ORMDL2|HSPC160|adoplin-2|MSTP095
MSTP095,6/20/14,,ORMDL2|HSPC160|adoplin-2|MST095,ORMDL2|HSPC160|adoplin-2|MST095
ORMDL3,6/20/14,,,
ANGPTL4,11/20/15,,pp1158|PGAR|ARP4|HFARP|FIAF|NL2,pp1158|PGAR|ARP4|HFARP|FIAF|NL2
pp1158,11/20/15,,ANGPTL4|PGAR|ARP4|HFARP|FIAF|NL2,ANGPTL4|PGAR|ARP4|HFARP|FIAF|NL2
PGAR,11/20/15,,ANGPTL4|pp1158|ARP4|HFARP|FIAF|NL2,ANGPTL4|pp1158|ARP4|HFARP|FIAF|NL2
ARP4,11/20/15,,ANGPTL4|pp1158|PGAR|HFARP|FIAF|NL2,ANGPTL4|pp1158|PGAR|HFARP|FIAF|NL2
HFARP,11/20/15,,ANGPTL4|pp1158|PGAR|ARP4|FIAF|NL2,ANGPTL4|pp1158|PGAR|ARP4|FIAF|NL2
FIAF,11/20/15,,ANGPTL4|pp1158|PGAR|ARP4|HFARP|NL2,ANGPTL4|pp1158|PGAR|ARP4|HFARP|NL2
NL2,11/20/15,,ANGPTL4|pp1158|PGAR|ARP4|HFARP|FIAF,ANGPTL4|pp1158|PGAR|ARP4|HFARP|FIAF
CCR3,3/20/16,CMKBR3,CC-CKR-3|CKR3|CD193,CMKBR3|CC-CKR-3|CKR3|CD193
CC-CKR-3,3/20/16,CMKBR3,CCR3|CKR3|CD193,CMKBR3|CCR3|CKR3|CD193
CKR3,3/20/16,CMKBR3,CCR3|CC-CKR-3|CD193,CMKBR3|CCR3|CC-CKR-3|CD193
CD193,3/20/16,CMKBR3,CCR3|CC-CKR-3|CKR3,CMKBR3|CCR3|CC-CKR-3|CKR3
ATG4C,2/20/16,AUTL1|APG4C,FLJ14867|AUTL3,AUTL1|APG4C|FLJ14867|AUTL3
FLJ14867,2/20/16,AUTL1|APG4C,ATG4C|AUTL3,AUTL1|APG4C|ATG4C|AUTL3
AUTL3,2/20/16,AUTL1|APG4C,ATG4C|FLJ14867,AUTL1|APG4C|ATG4C|FLJ14867
EMCN,,,MUC14,MUC14
MUC14,,,EMCN,EMCN
RPS23P1,,,,
ST7-AS2,8/20/12,ST7OT2,ST7AS2,ST7OT2|ST7AS2
ST7AS2,8/20/12,ST7OT2,ST7-AS2,ST7OT2|ST7-AS2
ST7-OT3,6/20/14,ST7OT3,NCRNA00026,ST7OT3|NCRNA00026
NCRNA00026,6/20/14,ST7OT3,ST7-OT3,ST7OT3|ST7-OT3
UNC50,4/20/16,,URP|UNCL|GMH1,URP|UNCL|GMH1
URP,4/20/16,,UNC50|UNCL|GMH1,UNC50|UNCL|GMH1
UNCL,4/20/16,,UNC50|URP|GMH1,UNC50|URP|GMH1
GMH1,4/20/16,,UNC50|URP|UNCL,UNC50|URP|UNCL
PRADC1,5/20/16,C2orf7,MGC13004|PAP21|hPAP21,C2orf7|MGC13004|PAP21|hPAP21
MGC13004,5/20/16,C2orf7,PRADC1|PAP21|hPAP21,C2orf7|PRADC1|PAP21|hPAP21
PAP21,5/20/16,C2orf7,PRADC1|MGC13004|hPAP21,C2orf7|PRADC1|MGC13004|hPAP21
hPAP21,5/20/16,C2orf7,PRADC1|MGC13004|PAP21,C2orf7|PRADC1|MGC13004|PAP21
FRAT2,11/20/16,,,
PTGES3,12/20/15,,p23|TEBP|cPGES,p23|TEBP|cPGES
p23,12/20/15,,PTGES3|TEBP|cPGES,PTGES3|TEBP|cPGES
TEBP,12/20/15,,PTGES3|p23|cPGES,PTGES3|p23|cPGES
cPGES,12/20/15,,PTGES3|p23|TEBP,PTGES3|p23|TEBP
CCR4,3/20/16,,CC-CKR-4|CMKBR4|CKR4|k5-5|ChemR13|CD194,CC-CKR-4|CMKBR4|CKR4|k5-5|ChemR13|CD194
CC-CKR-4,3/20/16,,CCR4|CMKBR4|CKR4|k5-5|ChemR13|CD194,CCR4|CMKBR4|CKR4|k5-5|ChemR13|CD194
CMKBR4,3/20/16,,CCR4|CC-CKR-4|CKR4|k5-5|ChemR13|CD194,CCR4|CC-CKR-4|CKR4|k5-5|ChemR13|CD194
CKR4,3/20/16,,CCR4|CC-CKR-4|CMKBR4|k5-5|ChemR13|CD194,CCR4|CC-CKR-4|CMKBR4|k5-5|ChemR13|CD194
k5-5,3/20/16,,CCR4|CC-CKR-4|CMKBR4|CKR4|ChemR13|CD194,CCR4|CC-CKR-4|CMKBR4|CKR4|ChemR13|CD194
ChemR13,3/20/16,,CCR4|CC-CKR-4|CMKBR4|CKR4|k5-5|CD194,CCR4|CC-CKR-4|CMKBR4|CKR4|k5-5|CD194
CD194,3/20/16,,CCR4|CC-CKR-4|CMKBR4|CKR4|k5-5|ChemR13,CCR4|CC-CKR-4|CMKBR4|CKR4|k5-5|ChemR13
MED12L,11/20/15,,KIAA1635|TNRC11L|TRALPUSH|TRALP,KIAA1635|TNRC11L|TRALPUSH|TRALP
KIAA1635,11/20/15,,MED12L|TNRC11L|TRALPUSH|TRALP,MED12L|TNRC11L|TRALPUSH|TRALP
TNRC11L,11/20/15,,MED12L|KIAA1635|TRALPUSH|TRALP,MED12L|KIAA1635|TRALPUSH|TRALP
TRALPUSH,11/20/15,,MED12L|KIAA1635|TNRC11L|TRALP,MED12L|KIAA1635|TNRC11L|TRALP
TRALP,11/20/15,,MED12L|KIAA1635|TNRC11L|TRALPUSH,MED12L|KIAA1635|TNRC11L|TRALPUSH
PARD3,8/20/13,,PAR3|PARD3A|Bazooka|Baz|ASIP|PPP1R118,PAR3|PARD3A|Bazooka|Baz|ASIP|PPP1R118
PAR3,8/20/13,,PARD3|PARD3A|Bazooka|Baz|ASIP|PPP1R118,PARD3|PARD3A|Bazooka|Baz|ASIP|PPP1R118
PARD3A,8/20/13,,PARD3|PAR3|Bazooka|Baz|ASIP|PPP1R118,PARD3|PAR3|Bazooka|Baz|ASIP|PPP1R118
Bazooka,8/20/13,,PARD3|PAR3|PARD3A|Baz|ASIP|PPP1R118,PARD3|PAR3|PARD3A|Baz|ASIP|PPP1R118
Baz,8/20/13,,PARD3|PAR3|PARD3A|Bazooka|ASIP|PPP1R118,PARD3|PAR3|PARD3A|Bazooka|ASIP|PPP1R118
ASIP,8/20/13,,PARD3|PAR3|PARD3A|Bazooka|Baz|PPP1R118,PARD3|PAR3|PARD3A|Bazooka|Baz|PPP1R118
PPP1R118,8/20/13,,PARD3|PAR3|PARD3A|Bazooka|Baz|ASIP,PARD3|PAR3|PARD3A|Bazooka|Baz|ASIP
ZNF444,,,ZSCAN17|FLJ11137|EZF2,ZSCAN17|FLJ11137|EZF2
ZSCAN17,,,ZNF444|FLJ11137|EZF2,ZNF444|FLJ11137|EZF2
FLJ11137,,,ZNF444|ZSCAN17|EZF2,ZNF444|ZSCAN17|EZF2
EZF2,,,ZNF444|ZSCAN17|FLJ11137,ZNF444|ZSCAN17|FLJ11137
CFAP52,9/20/14,WDR16,WDRPUH|FLJ37528,WDR16|WDRPUH|FLJ37528
WDRPUH,9/20/14,WDR16,CFAP52|FLJ37528,WDR16|CFAP52|FLJ37528
FLJ37528,9/20/14,WDR16,CFAP52|WDRPUH,WDR16|CFAP52|WDRPUH
SLC46A2,12/20/15,TSCOT,Ly110,TSCOT|Ly110
Ly110,12/20/15,TSCOT,SLC46A2,TSCOT|SLC46A2
VTLO1~,,,,
NLN,1/20/16,AGTBP,KIAA1226,AGTBP|KIAA1226
KIAA1226,1/20/16,AGTBP,NLN,AGTBP|NLN
PAK4,5/20/16,,,
CCR5,3/20/16,CMKBR5,CKR-5|CC-CKR-5|CKR5|CD195|IDDM22,CMKBR5|CKR-5|CC-CKR-5|CKR5|CD195|IDDM22
CKR-5,3/20/16,CMKBR5,CCR5|CC-CKR-5|CKR5|CD195|IDDM22,CMKBR5|CCR5|CC-CKR-5|CKR5|CD195|IDDM22
CC-CKR-5,3/20/16,CMKBR5,CCR5|CKR-5|CKR5|CD195|IDDM22,CMKBR5|CCR5|CKR-5|CKR5|CD195|IDDM22
CKR5,3/20/16,CMKBR5,CCR5|CKR-5|CC-CKR-5|CD195|IDDM22,CMKBR5|CCR5|CKR-5|CC-CKR-5|CD195|IDDM22
CD195,3/20/16,CMKBR5,CCR5|CKR-5|CC-CKR-5|CKR5|IDDM22,CMKBR5|CCR5|CKR-5|CC-CKR-5|CKR5|IDDM22
IDDM22,3/20/16,CMKBR5,CCR5|CKR-5|CC-CKR-5|CKR5|CD195,CMKBR5|CCR5|CKR-5|CC-CKR-5|CKR5|CD195
TRUB1,4/20/16,,PUS4,PUS4
PUS4,4/20/16,,TRUB1,TRUB1
PAK6,5/20/16,,PAK5,PAK5
PAK5,5/20/16,,PAK6,PAK6
CRTC1,11/20/05,MECT1,KIAA0616|FLJ14027|TORC1,MECT1|KIAA0616|FLJ14027|TORC1
KIAA0616,11/20/05,MECT1,CRTC1|FLJ14027|TORC1,MECT1|CRTC1|FLJ14027|TORC1
FLJ14027,11/20/05,MECT1,CRTC1|KIAA0616|TORC1,MECT1|CRTC1|KIAA0616|TORC1
TORC1,11/20/05,MECT1,CRTC1|KIAA0616|FLJ14027,MECT1|CRTC1|KIAA0616|FLJ14027
MLLT10,5/20/17,,AF10,AF10
AF10,5/20/17,,MLLT10,MLLT10
GGA2,3/20/16,,VEAR|KIAA1080,VEAR|KIAA1080
VEAR,3/20/16,,GGA2|KIAA1080,GGA2|KIAA1080
KIAA1080,3/20/16,,GGA2|VEAR,GGA2|VEAR
GLRX2,,,GRX2|bA101E13.1,GRX2|bA101E13.1
GRX2,,,GLRX2|bA101E13.1,GLRX2|bA101E13.1
bA101E13.1,,,GLRX2|GRX2,GLRX2|GRX2
ACER3,12/20/08,PHCA,FLJ11238|APHC,PHCA|FLJ11238|APHC
FLJ11238,12/20/08,PHCA,ACER3|APHC,PHCA|ACER3|APHC
APHC,12/20/08,PHCA,ACER3|FLJ11238,PHCA|ACER3|FLJ11238
MYOCD,,,MYCD,MYCD
MYCD,,,MYOCD,MYOCD
PCNT,1/20/08,PCNT2,KEN|KIAA0402|PCN|PCNTB|SCKL4,PCNT2|KEN|KIAA0402|PCN|PCNTB|SCKL4
KEN,1/20/08,PCNT2,PCNT|KIAA0402|PCN|PCNTB|SCKL4,PCNT2|PCNT|KIAA0402|PCN|PCNTB|SCKL4
KIAA0402,1/20/08,PCNT2,PCNT|KEN|PCN|PCNTB|SCKL4,PCNT2|PCNT|KEN|PCN|PCNTB|SCKL4
PCN,1/20/08,PCNT2,PCNT|KEN|KIAA0402|PCNTB|SCKL4,PCNT2|PCNT|KEN|KIAA0402|PCNTB|SCKL4
PCNTB,1/20/08,PCNT2,PCNT|KEN|KIAA0402|PCN|SCKL4,PCNT2|PCNT|KEN|KIAA0402|PCN|SCKL4
SCKL4,1/20/08,PCNT2,PCNT|KEN|KIAA0402|PCN|PCNTB,PCNT2|PCNT|KEN|KIAA0402|PCN|PCNTB
SOCS2P1,,,,
CCR6,3/20/16,STRL22,CKR-L3|GPR-CY4|CMKBR6|GPR29|DRY-6|DCR2|BN-1|CD196,STRL22|CKR-L3|GPR-CY4|CMKBR6|GPR29|DRY-6|DCR2|BN-1|CD196
CKR-L3,3/20/16,STRL22,CCR6|GPR-CY4|CMKBR6|GPR29|DRY-6|DCR2|BN-1|CD196,STRL22|CCR6|GPR-CY4|CMKBR6|GPR29|DRY-6|DCR2|BN-1|CD196
GPR-CY4,3/20/16,STRL22,CCR6|CKR-L3|CMKBR6|GPR29|DRY-6|DCR2|BN-1|CD196,STRL22|CCR6|CKR-L3|CMKBR6|GPR29|DRY-6|DCR2|BN-1|CD196
CMKBR6,3/20/16,STRL22,CCR6|CKR-L3|GPR-CY4|GPR29|DRY-6|DCR2|BN-1|CD196,STRL22|CCR6|CKR-L3|GPR-CY4|GPR29|DRY-6|DCR2|BN-1|CD196
GPR29,3/20/16,STRL22,CCR6|CKR-L3|GPR-CY4|CMKBR6|DRY-6|DCR2|BN-1|CD196,STRL22|CCR6|CKR-L3|GPR-CY4|CMKBR6|DRY-6|DCR2|BN-1|CD196
DRY-6,3/20/16,STRL22,CCR6|CKR-L3|GPR-CY4|CMKBR6|GPR29|DCR2|BN-1|CD196,STRL22|CCR6|CKR-L3|GPR-CY4|CMKBR6|GPR29|DCR2|BN-1|CD196
DCR2,3/20/16,STRL22,CCR6|CKR-L3|GPR-CY4|CMKBR6|GPR29|DRY-6|BN-1|CD196,STRL22|CCR6|CKR-L3|GPR-CY4|CMKBR6|GPR29|DRY-6|BN-1|CD196
BN-1,3/20/16,STRL22,CCR6|CKR-L3|GPR-CY4|CMKBR6|GPR29|DRY-6|DCR2|CD196,STRL22|CCR6|CKR-L3|GPR-CY4|CMKBR6|GPR29|DRY-6|DCR2|CD196
CD196,3/20/16,STRL22,CCR6|CKR-L3|GPR-CY4|CMKBR6|GPR29|DRY-6|DCR2|BN-1,STRL22|CCR6|CKR-L3|GPR-CY4|CMKBR6|GPR29|DRY-6|DCR2|BN-1
RPL12P2,,,dJ441G21.1,dJ441G21.1
dJ441G21.1,,,RPL12P2,RPL12P2
HPYR1,9/20/08,,HPRG1|NCRNA00027|LINC00027,HPRG1|NCRNA00027|LINC00027
HPRG1,9/20/08,,HPYR1|NCRNA00027|LINC00027,HPYR1|NCRNA00027|LINC00027
NCRNA00027,9/20/08,,HPYR1|HPRG1|LINC00027,HPYR1|HPRG1|LINC00027
LINC00027,9/20/08,,HPYR1|HPRG1|NCRNA00027,HPYR1|HPRG1|NCRNA00027
SIGLEC31P,1/20/16,SIGLECP15,,SIGLECP15
SFXN5,,,BBG-TCC,BBG-TCC
BBG-TCC,,,SFXN5,SFXN5
OCIAD1,,,FLJ20455|TPA018|OCIA|Asrij,FLJ20455|TPA018|OCIA|Asrij
FLJ20455,,,OCIAD1|TPA018|OCIA|Asrij,OCIAD1|TPA018|OCIA|Asrij
TPA018,,,OCIAD1|FLJ20455|OCIA|Asrij,OCIAD1|FLJ20455|OCIA|Asrij
OCIA,,,OCIAD1|FLJ20455|TPA018|Asrij,OCIAD1|FLJ20455|TPA018|Asrij
Asrij,,,OCIAD1|FLJ20455|TPA018|OCIA,OCIAD1|FLJ20455|TPA018|OCIA
RAB33B,,,DKFZP434G099,DKFZP434G099
DKFZP434G099,,,RAB33B,RAB33B
PARD6G,8/20/13,,PAR-6G|PAR6gamma,PAR-6G|PAR6gamma
PAR-6G,8/20/13,,PARD6G|PAR6gamma,PARD6G|PAR6gamma
PAR6gamma,8/20/13,,PARD6G|PAR-6G,PARD6G|PAR-6G
DUSP22,,,MKPX|JSP1|JKAP|VHX,MKPX|JSP1|JKAP|VHX
MKPX,,,DUSP22|JSP1|JKAP|VHX,DUSP22|JSP1|JKAP|VHX
JSP1,,,DUSP22|MKPX|JKAP|VHX,DUSP22|MKPX|JKAP|VHX
JKAP,,,DUSP22|MKPX|JSP1|VHX,DUSP22|MKPX|JSP1|VHX
VHX,,,DUSP22|MKPX|JSP1|JKAP,DUSP22|MKPX|JSP1|JKAP
STMN4,11/20/15,,RB3,RB3
RB3,11/20/15,,STMN4,STMN4
CCR7,3/20/16,CMKBR7|EBI1,BLR2|CDw197|CD197,CMKBR7|EBI1|BLR2|CDw197|CD197
BLR2,3/20/16,CMKBR7|EBI1,CCR7|CDw197|CD197,CMKBR7|EBI1|CCR7|CDw197|CD197
CDw197,3/20/16,CMKBR7|EBI1,CCR7|BLR2|CD197,CMKBR7|EBI1|CCR7|BLR2|CD197
CD197,3/20/16,CMKBR7|EBI1,CCR7|BLR2|CDw197,CMKBR7|EBI1|CCR7|BLR2|CDw197
LINC00846,1/20/13,C21orf77,FLJ10932,C21orf77|FLJ10932
FLJ10932,1/20/13,C21orf77,LINC00846,C21orf77|LINC00846
GTF2IP2,5/20/15,,,
RHBDL2,5/20/16,,FLJ20435,FLJ20435
FLJ20435,5/20/16,,RHBDL2,RHBDL2
LIMS2,2/20/16,,PINCH2|PINCH-2,PINCH2|PINCH-2
PINCH2,2/20/16,,LIMS2|PINCH-2,LIMS2|PINCH-2
PINCH-2,2/20/16,,LIMS2|PINCH2,LIMS2|PINCH2
SFXN1,,,FLJ12876,FLJ12876
FLJ12876,,,SFXN1,SFXN1
SFXN2,,,,
SFXN3,,,SFX3,SFX3
SFX3,,,SFXN3,SFXN3
SFXN4,,,,
PGRMC2,,,PMBP|DG6,PMBP|DG6
PMBP,,,PGRMC2|DG6,PGRMC2|DG6
DG6,,,PGRMC2|PMBP,PGRMC2|PMBP
CCR8,3/20/16,CMKBRL2|CMKBR8,CY6|TER1|CKR-L1|GPR-CY6|CDw198,CMKBRL2|CMKBR8|CY6|TER1|CKR-L1|GPR-CY6|CDw198
CY6,3/20/16,CMKBRL2|CMKBR8,CCR8|TER1|CKR-L1|GPR-CY6|CDw198,CMKBRL2|CMKBR8|CCR8|TER1|CKR-L1|GPR-CY6|CDw198
TER1,3/20/16,CMKBRL2|CMKBR8,CCR8|CY6|CKR-L1|GPR-CY6|CDw198,CMKBRL2|CMKBR8|CCR8|CY6|CKR-L1|GPR-CY6|CDw198
CKR-L1,3/20/16,CMKBRL2|CMKBR8,CCR8|CY6|TER1|GPR-CY6|CDw198,CMKBRL2|CMKBR8|CCR8|CY6|TER1|GPR-CY6|CDw198
GPR-CY6,3/20/16,CMKBRL2|CMKBR8,CCR8|CY6|TER1|CKR-L1|CDw198,CMKBRL2|CMKBR8|CCR8|CY6|TER1|CKR-L1|CDw198
CDw198,3/20/16,CMKBRL2|CMKBR8,CCR8|CY6|TER1|CKR-L1|GPR-CY6,CMKBRL2|CMKBR8|CCR8|CY6|TER1|CKR-L1|GPR-CY6
PGRMC1,,,HPR6.6,HPR6.6
HPR6.6,,,PGRMC1,PGRMC1
ACSS1,6/20/17,ACAS2L,dJ568C11.3|AceCS2L|MGC33843,ACAS2L|dJ568C11.3|AceCS2L|MGC33843
dJ568C11.3,6/20/17,ACAS2L,ACSS1|AceCS2L|MGC33843,ACAS2L|ACSS1|AceCS2L|MGC33843
AceCS2L,6/20/17,ACAS2L,ACSS1|dJ568C11.3|MGC33843,ACAS2L|ACSS1|dJ568C11.3|MGC33843
MGC33843,6/20/17,ACAS2L,ACSS1|dJ568C11.3|AceCS2L,ACAS2L|ACSS1|dJ568C11.3|AceCS2L
ARPC3P1,11/20/15,ARPC3B,dJ470L14.3,ARPC3B|dJ470L14.3
dJ470L14.3,11/20/15,ARPC3B,ARPC3P1,ARPC3B|ARPC3P1
BHLHE23,11/20/15,BHLHB4,bA305P22.3|Beta4|bHLHe23,BHLHB4|bA305P22.3|Beta4|bHLHe23
bA305P22.3,11/20/15,BHLHB4,BHLHE23|Beta4|bHLHe23,BHLHB4|BHLHE23|Beta4|bHLHe23
Beta4,11/20/15,BHLHB4,BHLHE23|bA305P22.3|bHLHe23,BHLHB4|BHLHE23|bA305P22.3|bHLHe23
bHLHe23,11/20/15,BHLHB4,BHLHE23|bA305P22.3|Beta4,BHLHB4|BHLHE23|bA305P22.3|Beta4
ZBTB46,9/20/06,ZNF340|BTBD4,FLJ13502|RINZF|BZEL,ZNF340|BTBD4|FLJ13502|RINZF|BZEL
FLJ13502,9/20/06,ZNF340|BTBD4,ZBTB46|RINZF|BZEL,ZNF340|BTBD4|ZBTB46|RINZF|BZEL
RINZF,9/20/06,ZNF340|BTBD4,ZBTB46|FLJ13502|BZEL,ZNF340|BTBD4|ZBTB46|FLJ13502|BZEL
BZEL,9/20/06,ZNF340|BTBD4,ZBTB46|FLJ13502|RINZF,ZNF340|BTBD4|ZBTB46|FLJ13502|RINZF
TOX2,3/20/07,C20orf100,dJ1108D11.2|GCX-1,C20orf100|dJ1108D11.2|GCX-1
dJ1108D11.2,3/20/07,C20orf100,TOX2|GCX-1,C20orf100|TOX2|GCX-1
GCX-1,3/20/07,C20orf100,TOX2|dJ1108D11.2,C20orf100|TOX2|dJ1108D11.2
VSTM2L,8/20/07,C20orf102,dJ1118M15.2,C20orf102|dJ1118M15.2
dJ1118M15.2,8/20/07,C20orf102,VSTM2L,C20orf102|VSTM2L
LAMP5,11/20/15,C20orf103,dJ1119D9.3|BAD-LAMP|UNC-46,C20orf103|dJ1119D9.3|BAD-LAMP|UNC-46
dJ1119D9.3,11/20/15,C20orf103,LAMP5|BAD-LAMP|UNC-46,C20orf103|LAMP5|BAD-LAMP|UNC-46
BAD-LAMP,11/20/15,C20orf103,LAMP5|dJ1119D9.3|UNC-46,C20orf103|LAMP5|dJ1119D9.3|UNC-46
UNC-46,11/20/15,C20orf103,LAMP5|dJ1119D9.3|BAD-LAMP,C20orf103|LAMP5|dJ1119D9.3|BAD-LAMP
PHF20,12/20/04,C20orf104,dJ1121G12.1|TDRD20A,C20orf104|dJ1121G12.1|TDRD20A
dJ1121G12.1,12/20/04,C20orf104,PHF20|TDRD20A,C20orf104|PHF20|TDRD20A
TDRD20A,12/20/04,C20orf104,PHF20|dJ1121G12.1,C20orf104|PHF20|dJ1121G12.1
GCNT7,7/20/07,C20orf105,dJ1153D9.2,C20orf105|dJ1153D9.2
dJ1153D9.2,7/20/07,C20orf105,GCNT7,C20orf105|GCNT7
ACTL7A,11/20/15,,,
CCR9,3/20/16,GPR28,GPR-9-6|CDw199,GPR28|GPR-9-6|CDw199
GPR-9-6,3/20/16,GPR28,CCR9|CDw199,GPR28|CCR9|CDw199
CDw199,3/20/16,GPR28,CCR9|GPR-9-6,GPR28|CCR9|GPR-9-6
FAM209A,11/20/15,C20orf106,dJ1153D9.3,C20orf106|dJ1153D9.3
dJ1153D9.3,11/20/15,C20orf106,FAM209A,C20orf106|FAM209A
FAM209B,11/20/15,C20orf107,dJ1153D9.4,C20orf107|dJ1153D9.4
dJ1153D9.4,11/20/15,C20orf107,FAM209B,C20orf107|FAM209B
FAM210B,11/20/15,C20orf108,dJ1167H4.1|DKFZP434A1114,C20orf108|dJ1167H4.1|DKFZP434A1114
