Approved_Symbol,Date_Name_Changed,Previous_Symbol,Synonyms,Linked_Genes
ZNF292L,8/20/05,,RLF|Zn-15L,RLF|Zn-15L
Zn-15L,8/20/05,,RLF|ZNF292L,RLF|ZNF292L
RLN1,11/20/04,,H1,H1
H1,11/20/04,,RLN1,RLN1
RLN2,11/20/04,,H2|RLXH2|bA12D24.1.1|bA12D24.1.2,H2|RLXH2|bA12D24.1.1|bA12D24.1.2
H2,11/20/04,,RLN2|RLXH2|bA12D24.1.1|bA12D24.1.2,RLN2|RLXH2|bA12D24.1.1|bA12D24.1.2
RLXH2,11/20/04,,RLN2|H2|bA12D24.1.1|bA12D24.1.2,RLN2|H2|bA12D24.1.1|bA12D24.1.2
bA12D24.1.1,11/20/04,,RLN2|H2|RLXH2|bA12D24.1.2,RLN2|H2|RLXH2|bA12D24.1.2
bA12D24.1.2,11/20/04,,RLN2|H2|RLXH2|bA12D24.1.1,RLN2|H2|RLXH2|bA12D24.1.1
RLNL~,,,,
RMCH~,,,,
BCL7~,,,,
RMD1,,,,
RMRP,5/20/02,CHH,RMRPR|RRP2|NME1,CHH|RMRPR|RRP2|NME1
RMRPR,5/20/02,CHH,RMRP|RRP2|NME1,CHH|RMRP|RRP2|NME1
RRP2,5/20/02,CHH,RMRP|RMRPR|NME1,CHH|RMRP|RMRPR|NME1
NME1,5/20/02,CHH,RMRP|RMRPR|RRP2,CHH|RMRP|RMRPR|RRP2
RMSA1~,,,,
RN5S~,,,,
RN5S1@,5/20/12,RN5S,,RN5S
RN5S2@~,,,,
RN5S3@~,,,,
RN7SK,3/20/08,,7SK,7SK
7SK,3/20/08,,RN7SK,RN7SK
RN7SL1,9/20/03,RN7SL,7SL|7L1a|RNSRP1,RN7SL|7SL|7L1a|RNSRP1
7SL,9/20/03,RN7SL,RN7SL1|7L1a|RNSRP1,RN7SL|RN7SL1|7L1a|RNSRP1
7L1a,9/20/03,RN7SL,RN7SL1|7SL|RNSRP1,RN7SL|RN7SL1|7SL|RNSRP1
RNSRP1,9/20/03,RN7SL,RN7SL1|7SL|7L1a,RN7SL|RN7SL1|7SL|7L1a
RN7SL4P,2/20/10,RN7SLP1|RN7SL427P,7L28,RN7SLP1|RN7SL427P|7L28
7L28,2/20/10,RN7SLP1|RN7SL427P,RN7SL4P,RN7SLP1|RN7SL427P|RN7SL4P
BCL7A,7/20/16,BCL7,,BCL7
RN7SL5P,2/20/10,RN7SLP2|RN7SL249P,7LEM1,RN7SLP2|RN7SL249P|7LEM1
7LEM1,2/20/10,RN7SLP2|RN7SL249P,RN7SL5P,RN7SLP2|RN7SL249P|RN7SL5P
RN7SL6P,2/20/10,RN7SLP3|RN7SL848P,7L7,RN7SLP3|RN7SL848P|7L7
7L7,2/20/10,RN7SLP3|RN7SL848P,RN7SL6P,RN7SLP3|RN7SL848P|RN7SL6P
RN7SL7P,2/20/10,RN7SLP4|RN7SL27P,7L23,RN7SLP4|RN7SL27P|7L23
7L23,2/20/10,RN7SLP4|RN7SL27P,RN7SL7P,RN7SLP4|RN7SL27P|RN7SL7P
RN7SL8P,2/20/10,RN7SLP5|RN7SL433P,7L63,RN7SLP5|RN7SL433P|7L63
7L63,2/20/10,RN7SLP5|RN7SL433P,RN7SL8P,RN7SLP5|RN7SL433P|RN7SL8P
RNASE1,1/20/16,RNS1,RAC1,RNS1|RAC1
RAC1,1/20/16,RNS1,RNASE1,RNS1|RNASE1
RNASE2,1/20/16,RNS2,EDN|RAF3,RNS2|EDN|RAF3
EDN,1/20/16,RNS2,RNASE2|RAF3,RNS2|RNASE2|RAF3
RAF3,1/20/16,RNS2,RNASE2|EDN,RNS2|RNASE2|EDN
RNASE3,1/20/16,RNS3,ECP|RAF1,RNS3|ECP|RAF1
ECP,1/20/16,RNS3,RNASE3|RAF1,RNS3|RNASE3|RAF1
RAF1,1/20/16,RNS3,RNASE3|ECP,RNS3|RNASE3|ECP
RNASE4,1/20/16,,RAB1,RAB1
RAB1,1/20/16,,RNASE4,RNASE4
RNASE6,1/20/16,RNS6,RAD1|RNaseK6,RNS6|RAD1|RNaseK6
RAD1,1/20/16,RNS6,RNASE6|RNaseK6,RNS6|RNASE6|RNaseK6
RNaseK6,1/20/16,RNS6,RNASE6|RAD1,RNS6|RNASE6|RAD1
RNASEH1P1,6/20/02,RNASEH1,RNH1,RNASEH1|RNH1
RNH1,6/20/02,RNASEH1,RNASEH1P1,RNASEH1|RNASEH1P1
BCL7B,7/20/16,,,
RNASEL,1/20/16,RNS4|PRCA1,,RNS4|PRCA1
RNASEL1~,,,,
RNE1~,,,,
RNE2~,,,,
RNE3~,,,,
RNF10,,,KIAA0262|RIE2,KIAA0262|RIE2
KIAA0262,,,RNF10|RIE2,RNF10|RIE2
RIE2,,,RNF10|KIAA0262,RNF10|KIAA0262
RNF11,,,CGI-123|Sid1669p|MGC51169,CGI-123|Sid1669p|MGC51169
CGI-123,,,RNF11|Sid1669p|MGC51169,RNF11|Sid1669p|MGC51169
Sid1669p,,,RNF11|CGI-123|MGC51169,RNF11|CGI-123|MGC51169
MGC51169,,,RNF11|CGI-123|Sid1669p,RNF11|CGI-123|Sid1669p
RNF13,,,RZF,RZF
RZF,,,RNF13,RNF13
RNF14,,,ARA54|HFB30|TRIAD2,ARA54|HFB30|TRIAD2
ARA54,,,RNF14|HFB30|TRIAD2,RNF14|HFB30|TRIAD2
HFB30,,,RNF14|ARA54|TRIAD2,RNF14|ARA54|TRIAD2
TRIAD2,,,RNF14|ARA54|HFB30,RNF14|ARA54|HFB30
TRIM38,1/20/11,RNF15,RORET,RNF15|RORET
RORET,1/20/11,RNF15,TRIM38,RNF15|TRIM38
BCL7C,7/20/16,,,
RNF17,,TDRD4,Mmip-2|SPATA23|FLJ11045,TDRD4|Mmip-2|SPATA23|FLJ11045
Mmip-2,,TDRD4,RNF17|SPATA23|FLJ11045,TDRD4|RNF17|SPATA23|FLJ11045
SPATA23,,TDRD4,RNF17|Mmip-2|FLJ11045,TDRD4|RNF17|Mmip-2|FLJ11045
FLJ11045,,TDRD4,RNF17|Mmip-2|SPATA23,TDRD4|RNF17|Mmip-2|SPATA23
RNF2,,,BAP-1|BAP1|DING|HIPI3|RING1B|RING2,BAP-1|BAP1|DING|HIPI3|RING1B|RING2
BAP-1,,,RNF2|BAP1|DING|HIPI3|RING1B|RING2,RNF2|BAP1|DING|HIPI3|RING1B|RING2
BAP1,,,RNF2|BAP-1|DING|HIPI3|RING1B|RING2,RNF2|BAP-1|DING|HIPI3|RING1B|RING2
DING,,,RNF2|BAP-1|BAP1|HIPI3|RING1B|RING2,RNF2|BAP-1|BAP1|HIPI3|RING1B|RING2
HIPI3,,,RNF2|BAP-1|BAP1|DING|RING1B|RING2,RNF2|BAP-1|BAP1|DING|RING1B|RING2
RING1B,,,RNF2|BAP-1|BAP1|DING|HIPI3|RING2,RNF2|BAP-1|BAP1|DING|HIPI3|RING2
RING2,,,RNF2|BAP-1|BAP1|DING|HIPI3|RING1B,RNF2|BAP-1|BAP1|DING|HIPI3|RING1B
RNF20,11/20/15,,FLJ20382|FLJ11189|KAIA2779|BRE1A|hBRE1|BRE1,FLJ20382|FLJ11189|KAIA2779|BRE1A|hBRE1|BRE1
FLJ20382,11/20/15,,RNF20|FLJ11189|KAIA2779|BRE1A|hBRE1|BRE1,RNF20|FLJ11189|KAIA2779|BRE1A|hBRE1|BRE1
FLJ11189,11/20/15,,RNF20|FLJ20382|KAIA2779|BRE1A|hBRE1|BRE1,RNF20|FLJ20382|KAIA2779|BRE1A|hBRE1|BRE1
KAIA2779,11/20/15,,RNF20|FLJ20382|FLJ11189|BRE1A|hBRE1|BRE1,RNF20|FLJ20382|FLJ11189|BRE1A|hBRE1|BRE1
BRE1A,11/20/15,,RNF20|FLJ20382|FLJ11189|KAIA2779|hBRE1|BRE1,RNF20|FLJ20382|FLJ11189|KAIA2779|hBRE1|BRE1
hBRE1,11/20/15,,RNF20|FLJ20382|FLJ11189|KAIA2779|BRE1A|BRE1,RNF20|FLJ20382|FLJ11189|KAIA2779|BRE1A|BRE1
BRE1,11/20/15,,RNF20|FLJ20382|FLJ11189|KAIA2779|BRE1A|hBRE1,RNF20|FLJ20382|FLJ11189|KAIA2779|BRE1A|hBRE1
TRIM34,1/20/11,RNF21,,RNF21
TRIM3,1/20/11,RNF22,HAC1|BERP|RNF97,RNF22|HAC1|BERP|RNF97
HAC1,1/20/11,RNF22,TRIM3|BERP|RNF97,RNF22|TRIM3|BERP|RNF97
BERP,1/20/11,RNF22,TRIM3|HAC1|RNF97,RNF22|TRIM3|HAC1|RNF97
RNF97,1/20/11,RNF22,TRIM3|HAC1|BERP,RNF22|TRIM3|HAC1|BERP
TRIM39,1/20/11,RNF23,,RNF23
PCGF3,1/20/05,RNF3,FLJ36550|DONG1|RNF3A|MGC40413,RNF3|FLJ36550|DONG1|RNF3A|MGC40413
FLJ36550,1/20/05,RNF3,PCGF3|DONG1|RNF3A|MGC40413,RNF3|PCGF3|DONG1|RNF3A|MGC40413
DONG1,1/20/05,RNF3,PCGF3|FLJ36550|RNF3A|MGC40413,RNF3|PCGF3|FLJ36550|RNF3A|MGC40413
